name,club,players_joined_after
Timo Horn,1.FC Köln,26
Jonas Hector,1.FC Köln,25
Benno Schmitz,1.FC Köln,24
Florian Kainz,1.FC Köln,23
Kingsley Schindler,1.FC Köln,22
Ellyes Skhiri,1.FC Köln,21
Jan Thielmann,1.FC Köln,20
Tim Lemperle,1.FC Köln,19
Sebastian Andersson,1.FC Köln,18
Dimitrios Limnios,1.FC Köln,17
Timo Hübers,1.FC Köln,13
Marvin Schwäbe,1.FC Köln,13
Mark Uth,1.FC Köln,13
Dejan Ljubicic,1.FC Köln,13
Julian Chabot,1.FC Köln,12
Mathias Olesen,1.FC Köln,11
Matthias Köbbing,1.FC Köln,10
Eric Martel,1.FC Köln,3
Kristian Pedersen,1.FC Köln,3
Florian Dietz,1.FC Köln,3
Denis Huseinbasic,1.FC Köln,3
Luca Kilian,1.FC Köln,3
Steffen Tigges,1.FC Köln,3
Linton Maina,1.FC Köln,3
Sargis Adamyan,1.FC Köln,2
Davie Selke,1.FC Köln,1
Nikola Soldo,1.FC Köln,1
Georg Strauch,1.FC Köln II,4
Joshua Schwirten,1.FC Köln II,3
Rijad Smajic,1.FC Köln II,2
Julian Roloff,1.FC Köln II,1
Maximilian Schmid,1.FC Köln II,1
Elias Bakatukanda,1.FC Köln U19,1
Stefan Bell,1.FSV Mainz 05,26
Robin Zentner,1.FSV Mainz 05,25
Alexander Hack,1.FSV Mainz 05,24
Karim Onisiwo,1.FSV Mainz 05,23
Finn Dahmen,1.FSV Mainz 05,20
Leandro Barreiro,1.FSV Mainz 05,20
Jonathan Burkardt,1.FSV Mainz 05,20
Aarón Martín,1.FSV Mainz 05,18
Edimilson Fernandes,1.FSV Mainz 05,18
Marlon Mustapha,1.FSV Mainz 05,17
Lasse Rieß,1.FSV Mainz 05,16
Jae-sung Lee,1.FSV Mainz 05,15
Silvan Widmer,1.FSV Mainz 05,14
Anton Stach,1.FSV Mainz 05,13
Anthony Caci,1.FSV Mainz 05,3
Dominik Kohr,1.FSV Mainz 05,3
Nelson Weiper,1.FSV Mainz 05,3
Marcus Ingvartsen,1.FSV Mainz 05,3
Eniss Shabani,1.FSV Mainz 05,3
Maxim Leitsch,1.FSV Mainz 05,3
Aymen Barkok,1.FSV Mainz 05,3
Delano Burgzorg,1.FSV Mainz 05,3
Danny da Costa,1.FSV Mainz 05,3
Philipp Schulz,1.FSV Mainz 05,3
Brajan Gruda,1.FSV Mainz 05,2
Andreas Hanche-Olsen,1.FSV Mainz 05,1
Ludovic Ajorque,1.FSV Mainz 05,1
Antonios Papadopoulos,B. Dortmund II,2
Abdoulaye Kamara,B. Dortmund II,1
Göktan Gürpüz,B. Dortmund II,1
Karim Bellarabi,B. Leverkusen,26
Niklas Lomb,B. Leverkusen,25
Jonathan Tah,B. Leverkusen,24
Lukas Hradecky,B. Leverkusen,23
Daley Sinkgraven,B. Leverkusen,20
Moussa Diaby,B. Leverkusen,20
Kerem Demirbay,B. Leverkusen,20
Nadiem Amiri,B. Leverkusen,19
Exequiel Palacios,B. Leverkusen,18
Edmond Tapsoba,B. Leverkusen,17
Florian Wirtz,B. Leverkusen,15
Ayman Azhil,B. Leverkusen,15
Patrik Schick,B. Leverkusen,14
Timothy Fosu-Mensah,B. Leverkusen,13
Jeremie Frimpong,B. Leverkusen,12
Andrey Lunev,B. Leverkusen,11
Mitchel Bakker,B. Leverkusen,10
Odilon Kossounou,B. Leverkusen,9
Piero Hincapié,B. Leverkusen,7
Robert Andrich,B. Leverkusen,7
Amine Adli,B. Leverkusen,6
Sardar Azmoun,B. Leverkusen,5
Joshua Eze,B. Leverkusen,3
Adam Hlozek,B. Leverkusen,3
Callum Hudson-Odoi,B. Leverkusen,2
Noah Mbamba,B. Leverkusen,1
Patrick Pentz,B. Leverkusen,1
Thomas Müller,Bayern Munich,26
Manuel Neuer,Bayern Munich,25
Joshua Kimmich,Bayern Munich,24
Serge Gnabry,Bayern Munich,22
Kingsley Coman,Bayern Munich,22
Leon Goretzka,Bayern Munich,21
Alphonso Davies,Bayern Munich,20
Lucas Hernández,Bayern Munich,18
Benjamin Pavard,Bayern Munich,18
Jamal Musiala,Bayern Munich,17
Leroy Sané,Bayern Munich,16
Eric Maxim Choupo-Moting,Bayern Munich,14
Bouna Sarr,Bayern Munich,14
Sven Ulreich,Bayern Munich,13
Dayot Upamecano,Bayern Munich,12
Josip Stanisic,Bayern Munich,11
Paul Wanner,Bayern Munich,10
Ryan Gravenberch,Bayern Munich,6
Noussair Mazraoui,Bayern Munich,6
Johannes Schenk,Bayern Munich,6
Sadio Mané,Bayern Munich,6
Matthijs de Ligt,Bayern Munich,5
Mathys Tel,Bayern Munich,4
Daley Blind,Bayern Munich,3
Arijon Ibrahimovic,Bayern Munich,2
Yann Sommer,Bayern Munich,1
João Cancelo,Bayern Munich,1
Marco Reus,Bor. Dortmund,29
